Pair1,Pair2,Position
1INCH,SWRV,0
ALGO,EGLD,0
BCH,YFI,0
BTT,FIL,0
CRV,1INCH,0
CRV,SWRV,0
CVC,IOST,0
CVC,IOTA,0
CVC,KNC,0
DASH,SRM,0
EGLD,ALGO,0
EGLD,IOST,0
ETH,WAVES,0
FIL,JST,0
IOST,CVC,0
JST,FIL,0
KNC,IOTA,0
KNC,ONT,0
KNC,ZIL,0
LINK,XLM,0
LRC,SNX,0
MKR,WNXM,0
NEO,XMR,0
QTUM,XRP,0
SNX,LRC,0
SRM,DASH,0
SWRV,XTZ,0
SWRV,ZRX,0
TRX,BTT,0
WAVES,ETH,0
WNXM,MKR,0
WNXM,ZEN,0
XLM,LINK,0
XMR,NEO,0
XRP,QTUM,0
XTZ,SWRV,0
YFI,BCH,0
YFI,EOS,0
YFI,OMG,0
YFI,QTUM,0
YFI,TRB,0
YFI,ZEC,0
ZEC,NEO,0
ZRX,SWRV,0
